y0,y1,
2.827433e+00,0.000000e+00,
2.825887e+00,-3.095067e-02,
2.821233e+00,-6.219571e-02,
2.813428e+00,-9.403138e-02,
2.802397e+00,-1.267576e-01,
2.788037e+00,-1.606798e-01,
2.770211e+00,-1.961100e-01,
2.748754e+00,-2.333684e-01,
2.723466e+00,-2.727834e-01,
2.694114e+00,-3.146918e-01,
2.660433e+00,-3.594377e-01,
2.622121e+00,-4.073700e-01,
2.578841e+00,-4.588381e-01,
2.530224e+00,-5.141858e-01,
2.475864e+00,-5.737416e-01,
2.415325e+00,-6.378060e-01,
2.348144e+00,-7.066333e-01,
2.273833e+00,-7.804086e-01,
2.191894e+00,-8.592184e-01,
2.101823e+00,-9.430133e-01,
2.003132e+00,-1.031565e+00,
1.895367e+00,-1.124415e+00,
1.778130e+00,-1.220823e+00,
1.651119e+00,-1.319712e+00,
1.514153e+00,-1.419625e+00,
1.367221e+00,-1.518702e+00,
1.210516e+00,-1.614678e+00,
1.044476e+00,-1.704940e+00,
8.698135e-01,-1.786631e+00,
6.875336e-01,-1.856809e+00,
4.989296e-01,-1.912669e+00,
3.055589e-01,-1.951787e+00,
1.091918e-01,-1.972360e+00,
-8.826056e-02,-1.973405e+00,
-2.848351e-01,-1.954873e+00,
-4.786108e-01,-1.917651e+00,
-6.677985e-01,-1.863461e+00,
-8.508156e-01,-1.794673e+00,
-1.026339e+00,-1.714065e+00,
-1.193332e+00,-1.624573e+00,
-1.351053e+00,-1.529074e+00,
-1.499036e+00,-1.430213e+00,
-1.637061e+00,-1.330292e+00,
-1.765123e+00,-1.231218e+00,
-1.883384e+00,-1.134490e+00,
-1.992137e+00,-1.041222e+00,
-2.091769e+00,-9.521881e-01,
-2.182732e+00,-8.678741e-01,
-2.265510e+00,-7.885304e-01,
-2.340606e+00,-7.142229e-01,
-2.408520e+00,-6.448780e-01,
-2.469741e+00,-5.803193e-01,
-2.524735e+00,-5.202987e-01,
-2.573942e+00,-4.645197e-01,
-2.617770e+00,-4.126561e-01,
-2.656593e+00,-3.643652e-01,
-2.690750e+00,-3.192977e-01,
-2.720548e+00,-2.771046e-01,
-2.746255e+00,-2.374411e-01,
-2.768109e+00,-1.999696e-01,
-2.786311e+00,-1.643606e-01,
-2.801033e+00,-1.302932e-01,
-2.812411e+00,-9.745457e-02,
-2.820554e+00,-6.553857e-02,
-2.825539e+00,-3.424481e-02,
-2.827414e+00,-3.276701e-03,
-2.826196e+00,2.766023e-02,
-2.821873e+00,5.886025e-02,
-2.814405e+00,9.061935e-02,
-2.803721e+00,1.232370e-01,
-2.789719e+00,1.570179e-01,
-2.772268e+00,1.922734e-01,
-2.751205e+00,2.293228e-01,
-2.726333e+00,2.684935e-01,
-2.697424e+00,3.101216e-01,
-2.664215e+00,3.545504e-01,
-2.626409e+00,4.021285e-01,
-2.583673e+00,4.532055e-01,
-2.535640e+00,5.081262e-01,
-2.481908e+00,5.672213e-01,
-2.422046e+00,6.307949e-01,
-2.355592e+00,6.991072e-01,
-2.282060e+00,7.723522e-01,
-2.200953e+00,8.506281e-01,
-2.111768e+00,9.339021e-01,
-2.014013e+00,1.021967e+00,
-1.907229e+00,1.114391e+00,
-1.791012e+00,1.210466e+00,
-1.665048e+00,1.309155e+00,
-1.529141e+00,1.409041e+00,
-1.383260e+00,1.508306e+00,
-1.227574e+00,1.604729e+00,
-1.062494e+00,1.695730e+00,
-8.887035e-01,1.778468e+00,
-7.071745e-01,1.850003e+00,
-5.191713e-01,1.907504e+00,
-3.262250e-01,1.948494e+00,
-1.300868e-01,1.971095e+00,
6.734345e-02,1.974229e+00,
2.641035e-01,1.957745e+00,
4.582635e-01,1.922435e+00,
6.480165e-01,1.869940e+00,
8.317550e-01,1.802573e+00,
1.008126e+00,1.723079e+00,
1.176064e+00,1.634390e+00,
1.334795e+00,1.539397e+00,
1.483823e+00,1.440776e+00,
1.622907e+00,1.340870e+00,
1.752020e+00,1.241629e+00,
1.871307e+00,1.144593e+00,
1.981051e+00,1.050916e+00,
2.081630e+00,9.614057e-01,
2.173488e+00,8.765760e-01,
2.257110e+00,7.966995e-01,
2.332996e+00,7.218597e-01,
2.401648e+00,6.519957e-01,
2.463556e+00,5.869405e-01,
2.519189e+00,5.264523e-01,
2.568989e+00,4.702388e-01,
2.613368e+00,4.179763e-01,
2.652704e+00,3.693232e-01,
2.687341e+00,3.239306e-01,
2.717587e+00,2.814493e-01,
2.743717e+00,2.415337e-01,
2.765968e+00,2.038456e-01,
2.784549e+00,1.680545e-01,
