y0,y1,
3.926991e-01,0.000000e+00,
3.926991e-01,-3.797511e-03,
3.926608e-01,-7.595023e-03,
3.925842e-01,-1.139218e-02,
3.924693e-01,-1.518864e-02,
3.923162e-01,-1.898404e-02,
3.921247e-01,-2.277804e-02,
3.918950e-01,-2.657028e-02,
3.916271e-01,-3.036041e-02,
3.913210e-01,-3.414807e-02,
3.909766e-01,-3.793293e-02,
3.905941e-01,-4.171462e-02,
3.901735e-01,-4.549280e-02,
3.897147e-01,-4.926712e-02,
3.892179e-01,-5.303722e-02,
3.886831e-01,-5.680275e-02,
3.881103e-01,-6.056337e-02,
3.874996e-01,-6.431871e-02,
3.868510e-01,-6.806844e-02,
3.861646e-01,-7.181221e-02,
3.854405e-01,-7.554965e-02,
3.846787e-01,-7.928043e-02,
3.838792e-01,-8.300420e-02,
3.830422e-01,-8.672060e-02,
3.821677e-01,-9.042929e-02,
3.812559e-01,-9.412992e-02,
3.803067e-01,-9.782214e-02,
3.793202e-01,-1.015056e-01,
3.782967e-01,-1.051800e-01,
3.772361e-01,-1.088449e-01,
3.761385e-01,-1.125000e-01,
3.750041e-01,-1.161450e-01,
3.738329e-01,-1.197795e-01,
3.726250e-01,-1.234032e-01,
3.713807e-01,-1.270157e-01,
3.700999e-01,-1.306166e-01,
3.687827e-01,-1.342058e-01,
3.674294e-01,-1.377827e-01,
3.660400e-01,-1.413471e-01,
3.646147e-01,-1.448986e-01,
3.631536e-01,-1.484368e-01,
3.616568e-01,-1.519615e-01,
3.601244e-01,-1.554723e-01,
3.585567e-01,-1.589689e-01,
3.569537e-01,-1.624509e-01,
3.553155e-01,-1.659179e-01,
3.536424e-01,-1.693698e-01,
3.519345e-01,-1.728060e-01,
3.501920e-01,-1.762263e-01,
3.484150e-01,-1.796304e-01,
3.466036e-01,-1.830178e-01,
3.447581e-01,-1.863884e-01,
3.428786e-01,-1.897417e-01,
3.409652e-01,-1.930775e-01,
3.390183e-01,-1.963953e-01,
3.370379e-01,-1.996949e-01,
3.350242e-01,-2.029760e-01,
3.329774e-01,-2.062381e-01,
3.308977e-01,-2.094811e-01,
3.287853e-01,-2.127046e-01,
3.266405e-01,-2.159082e-01,
3.244633e-01,-2.190916e-01,
3.222540e-01,-2.222546e-01,
3.200128e-01,-2.253967e-01,
3.177400e-01,-2.285177e-01,
3.154356e-01,-2.316173e-01,
3.131000e-01,-2.346952e-01,
3.107334e-01,-2.377510e-01,
3.083360e-01,-2.407844e-01,
3.059079e-01,-2.437952e-01,
3.034495e-01,-2.467830e-01,
3.009610e-01,-2.497475e-01,
2.984426e-01,-2.526884e-01,
2.958945e-01,-2.556054e-01,
2.933171e-01,-2.584983e-01,
2.907104e-01,-2.613666e-01,
2.880748e-01,-2.642102e-01,
2.854106e-01,-2.670287e-01,
2.827179e-01,-2.698218e-01,
2.799971e-01,-2.725892e-01,
2.772483e-01,-2.753308e-01,
2.744719e-01,-2.780460e-01,
2.716682e-01,-2.807348e-01,
2.688373e-01,-2.833968e-01,
2.659796e-01,-2.860316e-01,
2.630953e-01,-2.886392e-01,
2.601847e-01,-2.912191e-01,
2.572481e-01,-2.937710e-01,
2.542857e-01,-2.962949e-01,
2.512979e-01,-2.987902e-01,
2.482850e-01,-3.012569e-01,
2.452472e-01,-3.036945e-01,
2.421848e-01,-3.061030e-01,
2.390981e-01,-3.084819e-01,
2.359874e-01,-3.108311e-01,
2.328530e-01,-3.131503e-01,
2.296953e-01,-3.154393e-01,
2.265144e-01,-3.176977e-01,
2.233108e-01,-3.199254e-01,
2.200847e-01,-3.221221e-01,
2.168365e-01,-3.242876e-01,
2.135664e-01,-3.264216e-01,
2.102749e-01,-3.285239e-01,
2.069621e-01,-3.305942e-01,
2.036284e-01,-3.326324e-01,
2.002742e-01,-3.346383e-01,
1.968998e-01,-3.366115e-01,
1.935054e-01,-3.385519e-01,
1.900915e-01,-3.404593e-01,
1.866584e-01,-3.423334e-01,
1.832064e-01,-3.441740e-01,
1.797358e-01,-3.459810e-01,
1.762470e-01,-3.477542e-01,
1.727403e-01,-3.494932e-01,
1.692160e-01,-3.511980e-01,
1.656746e-01,-3.528683e-01,
1.621163e-01,-3.545040e-01,
1.585416e-01,-3.561049e-01,
1.549507e-01,-3.576708e-01,
1.513440e-01,-3.592015e-01,
1.477219e-01,-3.606968e-01,
1.440847e-01,-3.621566e-01,
1.404327e-01,-3.635807e-01,
1.367664e-01,-3.649689e-01,
1.330862e-01,-3.663211e-01,
1.293922e-01,-3.676372e-01,
1.256850e-01,-3.689169e-01,
1.219649e-01,-3.701601e-01,
1.182323e-01,-3.713667e-01,
1.144875e-01,-3.725366e-01,
1.107309e-01,-3.736696e-01,
1.069629e-01,-3.747655e-01,
1.031838e-01,-3.758243e-01,
9.939406e-02,-3.768458e-01,
9.559401e-02,-3.778300e-01,
9.178404e-02,-3.787766e-01,
8.796452e-02,-3.796856e-01,
8.413583e-02,-3.805568e-01,
8.029836e-02,-3.813903e-01,
7.645248e-02,-3.821858e-01,
7.259858e-02,-3.829432e-01,
6.873705e-02,-3.836626e-01,
6.486826e-02,-3.843437e-01,
6.099260e-02,-3.849866e-01,
5.711046e-02,-3.855911e-01,
5.322222e-02,-3.861572e-01,
4.932827e-02,-3.866848e-01,
4.542901e-02,-3.871738e-01,
4.152481e-02,-3.876241e-01,
